#{"t_start": 1679047616.014276, "env_id": null}
r,l,t
260.510416,100,30.539586
123.187151,100,30.556183
161.684752,100,30.572826
121.912507,100,30.589517
123.172475,100,30.608026
161.73227,100,30.624523
121.898876,100,30.640994
123.311317,100,31.046985
121.600523,100,31.063754
260.418761,100,31.080171
161.64501,100,31.096723
121.568221,100,31.113191
123.140669,100,31.13037
123.172067,100,31.14791
122.756295,100,31.166527
260.479015,100,31.184227
121.671789,100,31.200764
260.541103,100,31.217185
122.864825,100,31.234082
123.044716,100,31.250752
121.803156,100,31.267173
121.297282,100,31.284931
122.525174,100,31.302351
122.580796,100,31.320175
161.769791,100,31.339116
260.458953,100,31.356047
260.531573,100,31.37246
260.557094,100,31.389351
121.443604,100,31.794323
161.783691,100,31.811448
260.545526,100,31.827803
260.45123,100,31.844094
260.552609,100,31.860631
121.745193,100,31.878214
260.500548,100,31.896862
122.849767,100,31.913592
68.977717,60,31.92363
122.956178,100,31.941018
260.533483,100,31.958504
121.681901,100,31.974991
123.650697,100,31.992228
121.781872,100,32.008975
161.73133,100,32.025501
122.989771,100,32.042716
161.653905,100,32.059188
122.732109,100,32.078478
161.728403,100,32.095011
260.553723,100,32.111877
121.962963,100,32.12899
260.435458,100,32.536464
161.78292,100,32.554087
121.927586,100,32.571493
121.918568,100,32.589067
121.924411,100,32.606328
121.838668,100,32.623408
121.930164,100,32.641899
161.795095,100,32.659194
260.47264,100,32.676047
260.518949,100,32.692725
111.789507,96,32.71004
122.023987,100,32.726376
260.46978,100,32.74285
121.784872,100,32.7596
161.518746,100,32.776475
161.811855,100,32.793199
122.416611,100,32.813221
121.865388,100,32.831032
161.719645,100,32.84763
123.0875,100,32.864964
122.680963,100,33.286742
260.56021,100,33.303319
121.90293,100,33.319969
161.783626,100,33.337715
161.778903,100,33.354406
260.436557,100,33.370861
161.780749,100,33.389393
122.861262,100,33.406171
121.80875,100,33.422902
121.767725,100,33.439509
122.467618,100,33.456412
260.558847,100,33.47273
122.904585,100,33.491402
260.548543,100,33.508012
121.897846,100,33.525494
122.261167,100,33.5426
161.81524,100,33.561008
121.905956,100,33.578357
122.021903,100,33.604275
161.768322,100,33.622028
260.559813,100,33.638577
122.888414,100,34.049104
121.97551,100,34.065699
260.476769,100,34.08209
121.85752,100,34.098677
122.387961,100,34.115314
161.50744,100,34.134478
123.158274,100,34.151178
161.747566,100,34.167773
161.788587,100,34.184432
260.558901,100,34.201177
121.953794,100,34.217772
260.551397,100,34.234501
122.934873,100,34.251196
161.617614,100,34.268041
110.268039,95,34.283882
121.896076,100,34.303261
161.806547,100,34.319686
260.435223,100,34.336309
122.198175,100,34.352919
260.406497,100,34.369989
161.817561,100,34.803227
123.287508,100,34.820347
260.555716,100,34.837054
161.655221,100,34.854311
161.620431,100,34.870964
84.459912,74,34.885675
123.415785,100,34.902825
121.839485,100,34.919566
122.393691,100,34.936317
121.917292,100,34.953045
260.50932,100,34.969629
123.245517,100,34.986937
260.39331,100,35.004453
260.434943,100,35.021682
161.814087,100,35.03867
121.502961,100,35.057847
161.821202,100,35.074362
260.484377,100,35.091077
122.713563,100,35.107792
121.769998,100,35.124599
121.413483,100,35.141368
121.664581,100,35.558562
123.297417,100,35.576088
120.434418,100,35.593761
121.914801,100,35.610565
161.818917,100,35.629166
123.33683,100,35.645992
123.165913,100,35.663592
260.550505,100,35.680196
121.63211,100,35.697053
260.511169,100,35.713768
161.658201,100,35.731136
161.800676,100,35.748333
121.823846,100,35.765409
121.86844,100,35.782372
161.782666,100,35.801832
161.810147,100,35.818923
121.641975,100,35.836097
260.543028,100,35.854026
260.423111,100,35.870748
122.421423,100,35.887528
121.263576,100,35.904496
122.82792,100,36.329363
122.504314,100,36.346798
161.532501,100,36.363699
122.681154,100,36.382622
121.582316,100,36.399616
122.232824,100,36.417198
121.922669,100,36.434129
122.602815,100,36.452426
122.627524,100,36.469523
122.393126,100,36.486301
121.873755,100,36.503387
121.454397,100,36.520045
121.667521,100,36.537008
260.490642,100,36.555623
161.732672,100,36.572212
260.560446,100,36.588728
122.6258,100,36.605667
122.811445,100,36.622771
161.779199,100,36.640119
121.917493,100,36.65776
121.909813,100,37.091927
161.563459,100,37.108359
122.202989,100,37.125892
122.737752,100,37.145544
161.472795,100,37.162307
122.893136,100,37.179446
121.96909,100,37.196395
121.807194,100,37.213766
123.295994,100,37.231892
260.542951,100,37.248448
161.801018,100,37.265441
122.758691,100,37.28273
123.328113,100,37.300133
122.468065,100,37.318719
122.649725,100,37.335957
121.927162,100,37.352846
121.924333,100,37.369811
260.516548,100,37.386413
121.844528,100,37.404294
121.720173,100,37.421094
123.002145,100,37.834417
161.79196,100,37.851191
161.526797,100,37.867874
121.970495,100,37.887785
122.669206,100,37.905427
161.529485,100,37.92233
161.704809,100,37.939054
122.012446,100,37.956713
161.526251,100,37.973784
260.556918,100,37.990949
121.821831,100,38.007629
260.529989,100,38.025866
161.818105,100,38.045146
123.33591,100,38.065038
161.745253,100,38.081996
161.479032,100,38.09858
161.78386,100,38.114947
260.488088,100,38.132389
161.819831,100,38.149121
260.494872,100,38.166293
121.886802,100,38.183198
161.780015,100,38.607905
121.709932,100,38.62505
122.022355,100,38.644691
122.391551,100,38.662518
260.460909,100,38.681495
122.625327,100,38.698458
161.75045,100,38.716756
260.538679,100,38.734164
122.048689,100,38.752301
260.51662,100,38.768825
121.938892,100,38.785787
260.560316,100,38.802214
121.854934,100,38.821963
161.51747,100,38.838956
121.975346,100,38.855638
260.461194,100,38.873575
161.760816,100,38.890569
121.847743,100,38.907494
122.374587,100,38.925426
161.702891,100,38.943204
260.532027,100,39.383697
260.544329,100,39.400526
121.905388,100,39.420381
260.550007,100,39.43773
260.38487,100,39.454779
161.769305,100,39.471501
260.559838,100,39.489329
93.627293,81,39.503463
260.425336,100,39.5198
122.419535,100,39.537592
260.560538,100,39.554175
161.550517,100,39.570779
122.723188,100,39.589221
122.531833,100,39.606077
90.787784,79,39.619542
122.553166,100,39.636434
15.395565,17,39.639499
161.795653,100,39.656012
122.155481,100,39.672914
121.643071,100,39.689614
260.478417,100,39.706295
161.815803,100,39.722983
260.511497,100,40.162949
121.945382,100,40.182502
260.549597,100,40.200546
122.932496,100,40.217311
260.454499,100,40.235391
161.62142,100,40.253022
161.795268,100,40.269921
260.559243,100,40.286694
121.639143,100,40.303409
161.521895,100,40.320156
260.556795,100,40.336842
120.996226,100,40.357314
122.141442,100,40.374165
161.800934,100,40.392004
121.80585,100,40.409046
260.534889,100,40.426217
122.643105,100,40.443163
121.780329,100,40.461474
161.763645,100,40.478697
121.807226,100,40.495661
260.524435,100,40.513807
121.84118,100,40.926446
260.559683,100,40.943711
123.148787,100,40.961591
123.024799,100,40.979217
122.667126,100,40.996051
260.499457,100,41.014201
121.853437,100,41.03146
122.746276,100,41.048895
122.023938,100,41.065511
161.641434,100,41.08274
161.813053,100,41.101226
260.494668,100,41.118908
5.689791,9,41.120604
260.501955,100,41.136854
161.611737,100,41.153493
104.060786,90,41.168537
260.549597,100,41.185565
260.502203,100,41.203268
260.478459,100,41.219912
120.367767,100,41.236546
260.406497,100,41.254121
161.726826,100,41.669583
122.955221,100,41.688317
122.14373,100,41.706619
123.60884,100,41.724819
121.839182,100,41.742301
161.780879,100,41.758881
161.690411,100,41.775722
260.547212,100,41.792174
122.271899,100,41.809125
161.803234,100,41.825828
123.05557,100,41.845228
123.046033,100,41.86257
260.439068,100,41.879319
260.557533,100,41.896989
260.406497,100,41.913563
161.656035,100,41.93085
121.539936,100,41.947459
121.297461,100,41.964028
260.559243,100,41.981438
121.862948,100,41.999669
161.798835,100,42.019526
161.77121,100,42.427408
121.794627,100,42.444016
260.470472,100,42.460445
123.51894,100,42.478666
260.490303,100,42.495404
161.741924,100,42.512317
123.551794,100,42.529405
121.82801,100,42.546114
260.457454,100,42.563071
260.54299,100,42.581664
122.846276,100,42.598568
260.486938,100,42.615079
260.54299,100,42.63154
123.052852,100,42.648661
23.265604,23,42.652596
123.456361,100,42.669017
91.504109,80,42.683039
260.488835,100,42.699388
161.699618,100,42.716197
68.98296,60,42.726239
100.527653,87,42.740575
161.740216,100,42.758784
260.399841,100,43.170031
123.602305,100,43.187112
161.638641,100,43.203813
138.248184,89,43.218634
121.464093,100,43.235242
260.559984,100,43.252686
122.928151,100,43.270061
161.794532,100,43.286602
260.489647,100,43.303323
123.243644,100,43.322262
260.532013,100,43.339239
260.552975,100,43.356682
260.559243,100,43.373818
123.032054,100,43.390594
121.754419,100,43.407178
161.792937,100,43.423684
121.772136,100,43.440223
122.905426,100,43.4568
51.646566,46,43.464531
161.67243,100,43.480852
161.503179,100,43.500743
121.979821,100,43.920614
121.576206,100,43.9381
123.383846,100,43.955817
139.884885,90,43.971797
123.061213,100,43.989351
121.636049,100,44.006423
123.19861,100,44.024295
161.579706,100,44.040801
161.505943,100,44.057429
123.080992,100,44.076075
161.814532,100,44.09396
123.118345,100,44.111393
122.831142,100,44.129127
121.5986,100,44.146546
260.465238,100,44.163773
260.560306,100,44.181468
121.690067,100,44.198244
121.509021,100,44.215069
122.914034,100,44.231864
161.69778,100,44.250311
121.556985,100,44.656477
260.439068,100,44.672871
260.556795,100,44.689938
123.124374,100,44.707593
161.816315,100,44.725231
122.556044,100,44.741926
260.520395,100,44.762412
121.898554,100,44.779573
260.560221,100,44.796487
161.615215,100,44.815392
260.509911,100,44.832504
121.77516,100,44.849853
260.439068,100,44.866793
122.158877,100,44.88398
122.150834,100,44.902185
122.653568,100,44.918822
161.722134,100,44.935663
161.426655,100,44.952081
121.853294,100,44.968816
161.73257,100,44.987755
121.770406,100,45.004825
260.522584,100,45.477105
121.798787,100,45.49438
20.266394,21,45.49817
260.559195,100,45.515285
260.473316,100,45.532403
161.753695,100,45.551499
121.937924,100,45.568701
122.014023,100,45.585793
76.176123,67,45.597328
260.557638,100,45.616209
121.982589,100,45.633312
121.991212,100,45.650636
260.557671,100,45.667515
99.01889,85,45.682172
107.06017,92,45.701683
260.553723,100,45.725554
38.522716,36,45.731939
121.618103,100,45.748887
260.539054,100,45.765655
260.390821,100,45.782441
83.86796,73,45.797124
122.00771,100,45.815454
87.619381,76,45.828612
161.482029,100,46.279288
121.91301,100,46.296668
260.506589,100,46.3167
121.744569,100,46.334807
122.23763,100,46.352476
161.719159,100,46.369559
161.788732,100,46.386836
260.460845,100,46.405898
161.565756,100,46.422591
122.242517,100,46.440255
122.457422,100,46.457983
161.625202,100,46.475762
260.543122,100,46.492478
121.928804,100,46.510305
121.957778,100,46.527635
82.640249,72,46.54022
121.858589,100,46.556914
161.595755,100,46.575658
161.685621,100,46.592643
122.055132,100,46.610229
121.845714,100,46.628756
161.630057,100,47.083238
123.16834,100,47.101668
260.550563,100,47.118688
161.508025,100,47.13809
122.946979,100,47.155237
121.769256,100,47.172166
122.703125,100,47.192384
122.355856,100,47.209601
161.728748,100,47.227033
260.543311,100,47.244411
123.11408,100,47.262088
121.942871,100,47.279232
260.496175,100,47.296696
121.562721,100,47.315015
161.820337,100,47.333525
121.493679,100,47.350717
260.470988,100,47.369509
161.763555,100,47.386315
161.526428,100,47.404304
161.811213,100,47.422456
121.808695,100,47.88333
122.674774,100,47.900344
121.429955,100,47.918654
122.971337,100,47.936255
121.773372,100,47.95341
161.695512,100,47.971723
161.81206,100,47.992172
161.620509,100,48.009375
122.917718,100,48.027335
121.724731,100,48.044692
260.461192,100,48.061276
161.771106,100,48.07813
260.391306,100,48.09666
123.004413,100,48.114692
80.722465,71,48.12741
260.560538,100,48.144244
161.809915,100,48.161428
122.892797,100,48.180284
260.444818,100,48.196836
161.645983,100,48.214909
260.555569,100,48.232067
260.537825,100,48.661792
29.428416,28,48.666802
260.48693,100,48.68331
260.434605,100,48.70049
122.804016,100,48.717703
123.420613,100,48.734972
51.614215,46,48.742986
161.689875,100,48.761718
101.067555,86,48.777246
121.81217,100,48.796965
161.741634,100,48.813998
161.792684,100,48.831493
93.348955,80,48.845189
260.424143,100,48.861959
260.54519,100,48.878766
123.236575,100,48.895791
161.585562,100,48.912604
121.83899,100,48.933508
161.798659,100,48.950716
123.052029,100,48.968311
123.49118,100,48.985909
66.066528,58,48.995752
260.537179,100,49.422017
161.541387,100,49.439085
260.529267,100,49.456338
121.809542,100,49.474699
161.813142,100,49.491806
123.799762,100,49.509395
161.81305,100,49.528681
123.382009,100,49.546174
121.989882,100,49.563124
123.799612,100,49.579973
121.865985,100,49.597423
260.454503,100,49.614413
122.926182,100,49.631928
260.560264,100,49.648471
121.967194,100,49.665141
121.281232,100,49.681757
161.680134,100,49.701017
123.602722,100,49.719192
121.935168,100,49.736858
121.759411,100,49.754213
122.989558,100,49.771468
161.762115,100,50.184838
121.918723,100,50.201618
122.814151,100,50.219755
161.756855,100,50.237389
122.879901,100,50.254447
161.789021,100,50.27324
122.795283,100,50.290359
121.921232,100,50.30772
161.697708,100,50.324802
123.367616,100,50.341657
260.524342,100,50.358236
122.296327,100,50.375214
161.651253,100,50.391851
122.014403,100,50.408503
121.895615,100,50.425861
121.600155,100,50.445587
13.083632,15,50.448604
122.705677,100,50.465357
121.806815,100,50.48267
122.022915,100,50.500308
122.741145,100,50.517676
122.912087,100,50.981732
161.611728,100,50.998743
122.480607,100,51.015545
122.024246,100,51.032453
161.505607,100,51.049046
122.165566,100,51.068811
121.751928,100,51.086993
161.647491,100,51.105272
260.420459,100,51.122682
105.841672,91,51.138583
99.73722,86,51.153386
161.649698,100,51.169996
122.60482,100,51.186733
82.563061,72,51.198919
260.526477,100,51.216345
102.149439,88,51.234772
122.595463,100,51.252651
161.403796,100,51.27018
121.982582,100,51.287024
122.032144,100,51.303865
260.540752,100,51.321685
122.281385,100,51.734344
122.005164,100,51.751463
122.194273,100,51.769173
260.484651,100,51.786764
260.413665,100,51.805404
122.006805,100,51.822261
47.637083,33,51.828458
123.188827,100,51.845913
