#{"t_start": 1679129678.333805, "env_id": null}
r,l,t
1302.710481,500,965.975742
808.466899,500,966.218693
1302.706736,500,966.461619
1302.716212,500,967.349493
617.912052,500,967.588793
74.071938,65,967.619869
1302.690566,500,967.863903
808.460903,500,968.112766
38.674647,36,968.130425
617.9355,500,969.073966
55.75646,50,969.104221
617.598032,500,969.375317
231.538382,194,969.478351
808.387879,500,969.73212
1302.694245,500,970.644543
617.69736,500,970.903438
1302.70552,500,971.166672
617.928201,500,971.418788
409.674107,340,971.598355
1302.725628,500,972.51446
1302.72801,500,972.77452
618.494145,500,973.025829
618.572627,500,973.278184
1302.757502,500,974.174164
610.198337,500,974.434811
610.195322,500,974.692373
1302.743764,500,974.958737
99.8992,85,975.004857
808.825144,500,975.889411
248.587698,205,975.996985
91.350505,78,976.03765
1302.769388,500,976.286229
92.53572,79,976.325836
1302.779384,500,976.579197
808.827861,500,977.468746
119.850922,101,977.518173
1302.763126,500,977.781317
1302.77232,500,978.033572
610.133444,500,978.285343
60.016975,53,978.312107
1302.760937,500,979.220562
610.219618,500,979.482311
1302.765313,500,979.729782
1302.758632,500,979.985149
445.086256,369,980.811838
52.977362,47,980.835849
808.820732,500,981.099989
69.022456,60,981.130806
610.194319,500,981.391329
618.976398,500,981.645048
610.183153,500,982.558693
1302.752738,500,982.817129
808.850487,500,983.074242
610.181529,500,983.33542
400.810725,328,983.501803
610.140172,500,984.414051
610.193688,500,984.669506
619.561101,500,984.926407
1302.772804,500,985.183974
808.747918,500,986.106088
808.821925,500,986.357767
808.848391,500,986.615425
610.000518,500,986.865657
808.784751,500,987.786393
1302.764608,500,988.040518
808.786808,500,988.304011
618.423142,500,988.560865
808.848224,500,989.520263
609.952766,500,989.780064
808.812474,500,990.0428
610.006498,500,990.298516
1302.752906,500,991.198628
617.908202,500,991.44975
617.408117,500,991.70978
808.778263,500,991.966098
618.048415,500,992.875545
808.740937,500,993.131745
610.171658,500,993.393382
1302.765114,500,993.65502
616.288322,500,994.617626
1302.768604,500,994.884045
1302.774626,500,995.150262
615.570677,500,995.419095
610.093507,500,996.338976
610.069501,500,996.599604
610.141332,500,996.859723
610.164332,500,997.114287
610.115719,500,998.019947
610.08542,500,998.27354
808.501819,500,998.531994
808.573294,500,998.784714
614.921549,500,999.036503
808.219369,500,999.902286
614.772901,500,1000.145909
614.770823,500,1000.38719
613.807521,500,1000.62944
610.086037,500,1001.538456
613.478958,500,1001.783037
610.016171,500,1002.02606
614.407246,500,1002.268485
611.686624,500,1003.14297
1302.77289,500,1003.390491
808.476428,500,1003.632366
612.31035,500,1003.877361
808.588381,500,1004.76113
609.655573,500,1005.001141
612.712294,500,1005.233161
609.774647,500,1005.474569
609.647784,500,1006.350586
612.645679,500,1006.585942
611.984785,500,1006.816718
611.769193,500,1007.055923
609.679145,500,1007.939509
609.679543,500,1008.18629
614.071829,500,1008.419714
808.633542,500,1008.658473
612.139447,500,1009.538058
614.556691,500,1009.775214
808.651724,500,1010.014208
808.555705,500,1010.253705
609.80831,500,1011.131892
1302.781905,500,1011.37082
1302.782516,500,1011.607099
1302.781403,500,1011.84597
612.483518,500,1012.799156
808.706748,500,1013.073476
808.645079,500,1013.414491
1302.776426,500,1013.676538
613.651738,500,1014.5671
808.809896,500,1014.806024
808.762093,500,1015.042682
1302.767685,500,1015.287083
1302.785103,500,1015.523054
